Date,US10Y_Yield,Apple_Yield,Apple_Spread,Microsoft_Yield,Microsoft_Spread,Alphabet_Yield,Alphabet_Spread,Amazon_Yield,Amazon_Spread,Nvidia_Yield,Nvidia_Spread,Meta_Yield,Meta_Spread,Tesla_Yield,Tesla_Spread,TSMC_Yield,TSMC_Spread,Samsung_Yield,Samsung_Spread
2026-07-10,,,,,,,,,,,,,,,,,,,
2026-07-10,,,,,,,,,,,,,,,,,,,
2026-07-10,,,,,,,,,,,,,,,,,,,
2026-07-10,,,,,,,,,,,,,,,,,,,
2026-07-10,,,,,,,,,,,,,,,,,,,
2026-07-10,,,,,,,,,,,,,,,,,,,
2026-07-10,4.56,,,,,,,,,,,,,,,,,,
2026-07-10,4.56,,,,,,,,,,,,,,,,,,
2026-07-10,4.56,,,,,,,,,,,,,,,,,,
2026-07-10,4.56,,,,,,,,,,,,,,,,,,
2026-07-10,4.56,,,,,,,,,,,,,,,,,,
2026-07-10,4.56,,,,,,,,,,,,,,,,,,
2026-07-10,4.56,4.745,0.1850000000000005,4.859999999999999,0.2999999999999998,3.9977777777777774,-0.5622222222222222,3.98875,-0.5712499999999996,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.745,0.1850000000000005,4.859999999999999,0.2999999999999998,3.9977777777777774,-0.5622222222222222,3.98875,-0.5712499999999996,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.745,0.1850000000000005,4.859999999999999,0.2999999999999998,3.998888888888889,-0.5611111111111104,3.98875,-0.5712499999999996,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.745,0.1850000000000005,4.859999999999999,0.2999999999999998,3.9977777777777774,-0.5622222222222213,3.98875,-0.5712499999999996,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.745,0.1850000000000005,4.859999999999999,0.2999999999999998,3.9966666666666666,-0.563333333333333,3.98625,-0.5737499999999995,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.745,0.1850000000000005,4.859999999999999,0.2999999999999998,3.9966666666666666,-0.563333333333333,3.985,-0.5749999999999997,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.745,0.1850000000000005,4.859999999999999,0.2999999999999998,3.9966666666666666,-0.563333333333333,3.985,-0.5749999999999997,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.745,0.1850000000000005,4.859999999999999,0.2999999999999998,3.9966666666666666,-0.563333333333333,3.985,-0.5749999999999997,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.745,0.1850000000000005,4.859999999999999,0.2999999999999998,3.9966666666666666,-0.563333333333333,3.985,-0.5749999999999997,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.755,0.1950000000000002,4.8875,0.3275000000000005,3.994444444444445,-0.5655555555555547,3.985,-0.5749999999999997,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
